id,title,description,url
1803,Count Pairs With XOR in a Range,"Given a (0-indexed) integer array nums and two integers low and high , return the number of nice pairs . A nice pair is a pair (i, j) where 0 <= i < j < nums.length and low <= (nums[i] XOR nums[j]) <= high . Example 1: Input: nums = [1,4,2,7], low = 2, high = 6 Output: 6 Explanation: All nice pairs (i, j) are as follows: - (0, 1): nums[0] XOR nums[1] = 5 - (0, 2): nums[0] XOR nums[2] = 3 - (0, 3): nums[0] XOR nums[3] = 6 - (1, 2): nums[1] XOR nums[2] = 6 - (1, 3): nums[1] XOR nums[3] = 3 - (2, 3): nums[2] XOR nums[3] = 5 Example 2: Input: nums = [9,8,4,2,1], low = 5, high = 14 Output: 8 Explanation: All nice pairs (i, j) are as follows: âââââ - (0, 2): nums[0] XOR nums[2] = 13 - (0, 3): nums[0] XOR nums[3] = 11 - (0, 4): nums[0] XOR nums[4] = 8 - (1, 2): nums[1] XOR nums[2] = 12 - (1, 3): nums[1] XOR nums[3] = 10 - (1, 4): nums[1] XOR nums[4] = 9 - (2, 3): nums[2] XOR nums[3] = 6 - (2, 4): nums[2] XOR nums[4] = 5 Constraints: 1 <= nums.length <= 2 * 10 4 1 <= nums[i] <= 2 * 10 4 1 <= low <= high <= 2 * 10 4",https://leetcode.ca/2020-11-06-1803-Count-Pairs-With-XOR-in-a-Range
1804,Implement Trie II (Prefix Tree),"A trie (pronounced as ""try"") or prefix tree is a tree data structure used to efficiently store and retrieve keys in a dataset of strings. There are various applications of this data structure, such as autocomplete and spellchecker. Implement the Trie class: Trie() Initializes the trie object. void insert(String word) Inserts the string word into the trie. int countWordsEqualTo(String word) Returns the number of instances of the string word in the trie. int countWordsStartingWith(String prefix) Returns the number of strings in the trie that have the string prefix as a prefix. void erase(String word) Erases the string word from the trie. Example 1: Input [""Trie"", ""insert"", ""insert"", ""countWordsEqualTo"", ""countWordsStartingWith"", ""erase"", ""countWordsEqualTo"", ""countWordsStartingWith"", ""erase"", ""countWordsStartingWith""] [[], [""apple""], [""apple""], [""apple""], [""app""], [""apple""], [""apple""], [""app""], [""apple""], [""app""]] Output [null, null, null, 2, 2, null, 1, 1, null, 0] Explanation Trie trie = new Trie(); trie.insert(""apple""); // Inserts ""apple"". trie.insert(""apple""); // Inserts another ""apple"". trie.countWordsEqualTo(""apple""); // There are two instances of ""apple"" so return 2. trie.countWordsStartingWith(""app""); // ""app"" is a prefix of ""apple"" so return 2. trie.erase(""apple""); // Erases one ""apple"". trie.countWordsEqualTo(""apple""); // Now there is only one instance of ""apple"" so return 1. trie.countWordsStartingWith(""app""); // return 1 trie.erase(""apple""); // Erases ""apple"". Now the trie is empty. trie.countWordsStartingWith(""app""); // return 0 Constraints: 1 <= word.length, prefix.length <= 2000 word and prefix consist only of lowercase English letters. At most 3 * 10 4 calls in total will be made to insert , countWordsEqualTo , countWordsStartingWith , and erase . It is guaranteed that for any function call to erase , the string word will exist in the trie.",https://leetcode.ca/2020-11-07-1804-Implement-Trie-II-(Prefix-Tree)
1805,Number of Different Integers in a String,"You are given a string word that consists of digits and lowercase English letters. You will replace every non-digit character with a space. For example, ""a123bc34d8ef34"" will become "" 123 34 8 34"" . Notice that you are left with some integers that are separated by at least one space: ""123"" , ""34"" , ""8"" , and ""34"" . Return the number of different integers after performing the replacement operations on word . Two integers are considered different if their decimal representations without any leading zeros are different. Example 1: Input: word = ""a 123 bc 34 d 8 ef 34 "" Output: 3 Explanation: The three different integers are ""123"", ""34"", and ""8"". Notice that ""34"" is only counted once. Example 2: Input: word = ""leet 1234 code 234 "" Output: 2 Example 3: Input: word = ""a 1 b 01 c 001 "" Output: 1 Explanation: The three integers ""1"", ""01"", and ""001"" all represent the same integer because the leading zeros are ignored when comparing their decimal values. Constraints: 1 <= word.length <= 1000 word consists of digits and lowercase English letters.",https://leetcode.ca/2020-11-08-1805-Number-of-Different-Integers-in-a-String
1806,Minimum Number of Operations to Reinitialize a Permutation,"You are given an even integer n ââââââ. You initially have a permutation perm of size n ââ where perm[i] == i â (0-indexed) ââââ. In one operation, you will create a new array arr , and for each i : If i % 2 == 0 , then arr[i] = perm[i / 2] . If i % 2 == 1 , then arr[i] = perm[n / 2 + (i - 1) / 2] . You will then assign arr ââââ to perm . Return the minimum non-zero number of operations you need to perform on perm to return the permutation to its initial value. Example 1: Input: n = 2 Output: 1 Explanation: perm = [0,1] initially. After the 1 st operation, perm = [0,1] So it takes only 1 operation. Example 2: Input: n = 4 Output: 2 Explanation: perm = [0,1,2,3] initially. After the 1 st operation, perm = [0,2,1,3] After the 2 nd operation, perm = [0,1,2,3] So it takes only 2 operations. Example 3: Input: n = 6 Output: 4 Constraints: 2 <= n <= 1000 n ââââââ is even.",https://leetcode.ca/2020-11-09-1806-Minimum-Number-of-Operations-to-Reinitialize-a-Permutation
1807,Evaluate the Bracket Pairs of a String,"You are given a string s that contains some bracket pairs, with each pair containing a non-empty key. For example, in the string ""(name)is(age)yearsold"" , there are two bracket pairs that contain the keys ""name"" and ""age"" . You know the values of a wide range of keys. This is represented by a 2D string array knowledge where each knowledge[i] = [key i , value i ] indicates that key key i has a value of value i . You are tasked to evaluate all of the bracket pairs. When you evaluate a bracket pair that contains some key key i , you will: Replace key i and the bracket pair with the key's corresponding value i . If you do not know the value of the key, you will replace key i and the bracket pair with a question mark ""?"" (without the quotation marks). Each key will appear at most once in your knowledge . There will not be any nested brackets in s . Return the resulting string after evaluating all of the bracket pairs. Example 1: Input: s = ""(name)is(age)yearsold"", knowledge = [[""name"",""bob""],[""age"",""two""]] Output: ""bobistwoyearsold"" Explanation: The key ""name"" has a value of ""bob"", so replace ""(name)"" with ""bob"". The key ""age"" has a value of ""two"", so replace ""(age)"" with ""two"". Example 2: Input: s = ""hi(name)"", knowledge = [[""a"",""b""]] Output: ""hi?"" Explanation: As you do not know the value of the key ""name"", replace ""(name)"" with ""?"". Example 3: Input: s = ""(a)(a)(a)aaa"", knowledge = [[""a"",""yes""]] Output: ""yesyesyesaaa"" Explanation: The same key can appear multiple times. The key ""a"" has a value of ""yes"", so replace all occurrences of ""(a)"" with ""yes"". Notice that the ""a""s not in a bracket pair are not evaluated. Constraints: 1 <= s.length <= 10 5 0 <= knowledge.length <= 10 5 knowledge[i].length == 2 1 <= key i .length, value i .length <= 10 s consists of lowercase English letters and round brackets '(' and ')' . Every open bracket '(' in s will have a corresponding close bracket ')' . The key in each bracket pair of s will be non-empty. There will not be any nested bracket pairs in s . key i and value i consist of lowercase English letters. Each key i in knowledge is unique.",https://leetcode.ca/2020-11-10-1807-Evaluate-the-Bracket-Pairs-of-a-String
1808,Maximize Number of Nice Divisors,"You are given a positive integer primeFactors . You are asked to construct a positive integer n that satisfies the following conditions: The number of prime factors of n (not necessarily distinct) is at most primeFactors . The number of nice divisors of n is maximized. Note that a divisor of n is nice if it is divisible by every prime factor of n . For example, if n = 12 , then its prime factors are [2,2,3] , then 6 and 12 are nice divisors, while 3 and 4 are not. Return the number of nice divisors of n . Since that number can be too large, return it modulo 10 9 + 7 . Note that a prime number is a natural number greater than 1 that is not a product of two smaller natural numbers. The prime factors of a number n is a list of prime numbers such that their product equals n . Example 1: Input: primeFactors = 5 Output: 6 Explanation: 200 is a valid value of n. It has 5 prime factors: [2,2,2,5,5], and it has 6 nice divisors: [10,20,40,50,100,200]. There is not other value of n that has at most 5 prime factors and more nice divisors. Example 2: Input: primeFactors = 8 Output: 18 Constraints: 1 <= primeFactors <= 10 9",https://leetcode.ca/2020-11-11-1808-Maximize-Number-of-Nice-Divisors
1809,Ad-Free Sessions,"Table: Playback +-------------+------+ | Column Name | Type | +-------------+------+ | session_id | int | | customer_id | int | | start_time | int | | end_time | int | +-------------+------+ session_id is the column with unique values for this table. customer_id is the ID of the customer watching this session. The session runs during the inclusive interval between start_time and end_time. It is guaranteed that start_time <= end_time and that two sessions for the same customer do not intersect. Table: Ads +-------------+------+ | Column Name | Type | +-------------+------+ | ad_id | int | | customer_id | int | | timestamp | int | +-------------+------+ ad_id is the column with unique values for this table. customer_id is the ID of the customer viewing this ad. timestamp is the moment of time at which the ad was shown. Write a solution to report all the sessions that did not get shown any ads. Return the result table in any order . The result format is in the following example. Example 1: Input: Playback table: +------------+-------------+------------+----------+ | session_id | customer_id | start_time | end_time | +------------+-------------+------------+----------+ | 1 | 1 | 1 | 5 | | 2 | 1 | 15 | 23 | | 3 | 2 | 10 | 12 | | 4 | 2 | 17 | 28 | | 5 | 2 | 2 | 8 | +------------+-------------+------------+----------+ Ads table: +-------+-------------+-----------+ | ad_id | customer_id | timestamp | +-------+-------------+-----------+ | 1 | 1 | 5 | | 2 | 2 | 17 | | 3 | 2 | 20 | +-------+-------------+-----------+ Output: +------------+ | session_id | +------------+ | 2 | | 3 | | 5 | +------------+ Explanation: The ad with ID 1 was shown to user 1 at time 5 while they were in session 1. The ad with ID 2 was shown to user 2 at time 17 while they were in session 4. The ad with ID 3 was shown to user 2 at time 20 while they were in session 4. We can see that sessions 1 and 4 had at least one ad. Sessions 2, 3, and 5 did not have any ads, so we return them.",https://leetcode.ca/2020-11-12-1809-Ad-Free-Sessions
1810,Minimum Path Cost in a Hidden Grid,"This is an interactive problem . There is a robot in a hidden grid, and you are trying to get it from its starting cell to the target cell in this grid. The grid is of size m x n , and each cell in the grid is either empty or blocked. It is guaranteed that the starting cell and the target cell are different, and neither of them is blocked. Each cell has a cost that you need to pay each time you move to the cell. The starting cell's cost is not applied before the robot moves. You want to find the minimum total cost to move the robot to the target cell. However, you do not know the grid's dimensions, the starting cell, nor the target cell. You are only allowed to ask queries to the GridMaster object. The GridMaster class has the following functions: boolean canMove(char direction) Returns true if the robot can move in that direction. Otherwise, it returns false . int move(char direction) Moves the robot in that direction and returns the cost of moving to that cell. If this move would move the robot to a blocked cell or off the grid, the move will be ignored , the robot will remain in the same position, and the function will return -1 . boolean isTarget() Returns true if the robot is currently on the target cell. Otherwise, it returns false . Note that direction in the above functions should be a character from {'U','D','L','R'} , representing the directions up, down, left, and right, respectively. Return the minimum total cost to get the robot from its initial starting cell to the target cell. If there is no valid path between the cells, return -1 . Custom testing: The test input is read as a 2D matrix grid of size m x n and four integers r1 , c1 , r2 , and c2 where: grid[i][j] == 0 indicates that the cell (i, j) is blocked. grid[i][j] >= 1 indicates that the cell (i, j) is empty and grid[i][j] is the cost to move to that cell. (r1, c1) is the starting cell of the robot. (r2, c2) is the target cell of the robot. Remember that you will not have this information in your code. Example 1: Input: grid = [[2,3],[1,1]], r1 = 0, c1 = 1, r2 = 1, c2 = 0 Output: 2 Explanation: One possible interaction is described below: The robot is initially standing on cell (0, 1), denoted by the 3. - master.canMove('U') returns false. - master.canMove('D') returns true. - master.canMove('L') returns true. - master.canMove('R') returns false. - master.move('L') moves the robot to the cell (0, 0) and returns 2. - master.isTarget() returns false. - master.canMove('U') returns false. - master.canMove('D') returns true. - master.canMove('L') returns false. - master.canMove('R') returns true. - master.move('D') moves the robot to the cell (1, 0) and returns 1. - master.isTarget() returns true. - master.move('L') doesn't move the robot and returns -1. - master.move('R') moves the robot to the cell (1, 1) and returns 1. We now know that the target is the cell (1, 0), and the minimum total cost to reach it is 2. Example 2: Input: grid = [[0,3,1],[3,4,2],[1,2,0]], r1 = 2, c1 = 0, r2 = 0, c2 = 2 Output: 9 Explanation: The minimum cost path is (2,0) -> (2,1) -> (1,1) -> (1,2) -> (0,2). Example 3: Input: grid = [[1,0],[0,1]], r1 = 0, c1 = 0, r2 = 1, c2 = 1 Output: -1 Explanation: There is no path from the robot to the target cell. Constraints: 1 <= n, m <= 100 m == grid.length n == grid[i].length 0 <= grid[i][j] <= 100",https://leetcode.ca/2020-11-13-1810-Minimum-Path-Cost-in-a-Hidden-Grid
1811,Find Interview Candidates,"Table: Contests +--------------+------+ | Column Name | Type | +--------------+------+ | contest_id | int | | gold_medal | int | | silver_medal | int | | bronze_medal | int | +--------------+------+ contest_id is the column with unique values for this table. This table contains the LeetCode contest ID and the user IDs of the gold, silver, and bronze medalists. It is guaranteed that any consecutive contests have consecutive IDs and that no ID is skipped. Table: Users +-------------+---------+ | Column Name | Type | +-------------+---------+ | user_id | int | | mail | varchar | | name | varchar | +-------------+---------+ user_id is the column with unique values for this table. This table contains information about the users. Write a solution to report the name and the mail of all interview candidates . A user is an interview candidate if at least one of these two conditions is true: The user won any medal in three or more consecutive contests. The user won the gold medal in three or more different contests (not necessarily consecutive). Return the result table in any order . The result format is in the following example. Example 1: Input: Contests table: +------------+------------+--------------+--------------+ | contest_id | gold_medal | silver_medal | bronze_medal | +------------+------------+--------------+--------------+ | 190 | 1 | 5 | 2 | | 191 | 2 | 3 | 5 | | 192 | 5 | 2 | 3 | | 193 | 1 | 3 | 5 | | 194 | 4 | 5 | 2 | | 195 | 4 | 2 | 1 | | 196 | 1 | 5 | 2 | +------------+------------+--------------+--------------+ Users table: +---------+--------------------+-------+ | user_id | mail | name | +---------+--------------------+-------+ | 1 | sarah@leetcode.com | Sarah | | 2 | bob@leetcode.com | Bob | | 3 | alice@leetcode.com | Alice | | 4 | hercy@leetcode.com | Hercy | | 5 | quarz@leetcode.com | Quarz | +---------+--------------------+-------+ Output: +-------+--------------------+ | name | mail | +-------+--------------------+ | Sarah | sarah@leetcode.com | | Bob | bob@leetcode.com | | Alice | alice@leetcode.com | | Quarz | quarz@leetcode.com | +-------+--------------------+ Explanation: Sarah won 3 gold medals (190, 193, and 196), so we include her in the result table. Bob won a medal in 3 consecutive contests (190, 191, and 192), so we include him in the result table. - Note that he also won a medal in 3 other consecutive contests (194, 195, and 196). Alice won a medal in 3 consecutive contests (191, 192, and 193), so we include her in the result table. Quarz won a medal in 5 consecutive contests (190, 191, 192, 193, and 194), so we include them in the result table. Follow up: What if the first condition changed to be ""any medal in n or more consecutive contests""? How would you change your solution to get the interview candidates? Imagine that n is the parameter of a stored procedure. Some users may not participate in every contest but still perform well in the ones they do. How would you change your solution to only consider contests where the user was a participant ? Suppose the registered users for each contest are given in another table.",https://leetcode.ca/2020-11-14-1811-Find-Interview-Candidates
1812,Determine Color of a Chessboard Square,"You are given coordinates , a string that represents the coordinates of a square of the chessboard. Below is a chessboard for your reference. Return true if the square is white, and false if the square is black . The coordinate will always represent a valid chessboard square. The coordinate will always have the letter first, and the number second. Example 1: Input: coordinates = ""a1"" Output: false Explanation: From the chessboard above, the square with coordinates ""a1"" is black, so return false. Example 2: Input: coordinates = ""h3"" Output: true Explanation: From the chessboard above, the square with coordinates ""h3"" is white, so return true. Example 3: Input: coordinates = ""c7"" Output: false Constraints: coordinates.length == 2 'a' <= coordinates[0] <= 'h' '1' <= coordinates[1] <= '8'",https://leetcode.ca/2020-11-15-1812-Determine-Color-of-a-Chessboard-Square
1813,Sentence Similarity III,"A sentence is a list of words that are separated by a single space with no leading or trailing spaces. For example, ""Hello World"" , ""HELLO"" , ""hello world hello world"" are all sentences. Words consist of only uppercase and lowercase English letters. Two sentences sentence1 and sentence2 are similar if it is possible to insert an arbitrary sentence (possibly empty) inside one of these sentences such that the two sentences become equal. For example, sentence1 = ""Hello my name is Jane"" and sentence2 = ""Hello Jane"" can be made equal by inserting ""my name is"" between ""Hello"" and ""Jane"" in sentence2 . Given two sentences sentence1 and sentence2 , return true if sentence1 and sentence2 are similar. Otherwise, return false . Example 1: Input: sentence1 = ""My name is Haley"", sentence2 = ""My Haley"" Output: true Explanation: sentence2 can be turned to sentence1 by inserting ""name is"" between ""My"" and ""Haley"". Example 2: Input: sentence1 = ""of"", sentence2 = ""A lot of words"" Output: false Explanation: No single sentence can be inserted inside one of the sentences to make it equal to the other. Example 3: Input: sentence1 = ""Eating right now"", sentence2 = ""Eating"" Output: true Explanation: sentence2 can be turned to sentence1 by inserting ""right now"" at the end of the sentence. Constraints: 1 <= sentence1.length, sentence2.length <= 100 sentence1 and sentence2 consist of lowercase and uppercase English letters and spaces. The words in sentence1 and sentence2 are separated by a single space.",https://leetcode.ca/2020-11-16-1813-Sentence-Similarity-III
